"query","search interest","increase percent"
"protein",100,"5 %"
"esn proteinpulver",61,"10 %"
"proteinpulver esn",61,"10 %"
"esn",60,"7 %"
"proteinpulver whey",39,"4 %"
"proteinpulver dm",38,"0 %"
"whey",38,"2 %"
"veganes proteinpulver",38,"10 %"
"more",38,"20 %"
"dm",37,"1 %"
"proteinpulver more",37,"10 %"
"whey proteinpulver",37,"-2 %"
"dm proteinpulver",37,"-1 %"
"more proteinpulver",37,"10 %"
"proteinpulver vegan",27,"0 %"
"proteinpulver test",26,"-10 %"
"vegan proteinpulver",26,"-1 %"
"test proteinpulver",26,"-10 %"
"proteinpulver vanille",23,"10 %"
"whey protein",23,"1 %"
"vanille proteinpulver",22,"20 %"
"welches proteinpulver",20,"-10 %"
"proteinpulver rossmann",18,"6 %"
"koro proteinpulver",17,"20 %"
"rossmann proteinpulver",17,"10 %"
"rossmann",17,"6 %"
"koro",17,"10 %"
"vetain proteinpulver",16,"20 %"
"vetain",16,"10 %"
"protein pulver",16,"-8 %"
"beste proteinpulver",15,"-7 %"
"esn protein",14,"1 %"
"was ist proteinpulver",14,"-10 %"
"proteinpulver abnehmen",13,"20 %"
"bestes proteinpulver",13,"8 %"
"more protein",12,"20 %"
"proteinpulver lidl",11,"30 %"
"aldi proteinpulver",10,"20 %"
"more nutrition",10,"20 %"
"proteinpulver aldi",10,"20 %"
"proteinpulver schoko",10,"0 %"
"lidl proteinpulver",9,"2 %"
"proteinpulver kaufen",9,"2 %"
"schoko proteinpulver",9,"-2 %"
"proteinpulver ohne zucker",9,"20 %"
"bio proteinpulver",9,"20 %"
"proteinpulver zum abnehmen",8,"30 %"
"esn whey",7,"20 %"
"amazon proteinpulver",7,"-10 %"
"kreatin",7,"20 %"